Epic,Bobcoins_Used,API_Used,Success
EPIC-CCN-001,1.12,unknown,True
EPIC-CCN-002,2.70,unknown,True
EPIC-CCN-003,3.59,unknown,True
EPIC-CCN-004,8.65,unknown,True
EPIC-CCN-005,4.83,unknown,True
EPIC-CCN-006,6.67,unknown,True
EPIC-CCN-007,4.06,unknown,True
EPIC-CCN-008,3.95,unknown,True
EPIC-CCN-009,3.86,unknown,True
EPIC-CCN-010,4.41,unknown,True
EPIC-CCN-011,3.58,unknown,True
EPIC-CCN-012,8.06,unknown,True
EPIC-CCN-013,5.73,unknown,True
EPIC-CCN-014,4.07,unknown,True
EPIC-CCN-015,2.67,unknown,True
EPIC-CCN-016,0.00,unknown,False
EPIC-CCN-017,2.42,unknown,True
EPIC-CCN-018,3.49,unknown,True
EPIC-CCN-019,6.59,unknown,True
EPIC-CCN-020,8.72,unknown,True
EPIC-CCN-021,4.56,unknown,True
EPIC-CCN-022,8.82,unknown,True
EPIC-CCN-023,2.86,unknown,True
EPIC-CCN-024,5.07,unknown,True
EPIC-CCN-025,5.45,unknown,True
EPIC-CCN-026,5.81,unknown,True
EPIC-CCN-027,3.69,unknown,True
EPIC-CCN-028,9.07,unknown,True
EPIC-CCN-029,6.01,unknown,True
EPIC-CCN-030,4.05,unknown,True
EPIC-CCN-031,5.50,unknown,True
EPIC-CCN-032,14.13,unknown,True
EPIC-CCN-033,5.95,unknown,True
EPIC-CCN-034,3.95,unknown,True
EPIC-CCN-035,4.25,unknown,True
EPIC-CCN-036,5.73,unknown,True
EPIC-CCN-037,3.20,unknown,True
EPIC-CCN-038,2.79,unknown,True
EPIC-CCN-039,3.16,unknown,True
EPIC-CCN-040,2.57,unknown,True
EPIC-CCN-041,7.58,unknown,True
EPIC-CCN-042,4.69,unknown,True
EPIC-CCN-043,5.47,unknown,True
EPIC-CCN-044,3.67,unknown,True
EPIC-CCN-045,0.00,unknown,False
EPIC-CCN-046,8.91,unknown,True
EPIC-CCN-047,5.56,unknown,True
EPIC-CCN-048,3.74,unknown,True
EPIC-CCN-049,2.79,unknown,True
EPIC-CCN-050,3.93,unknown,True
EPIC-CCN-051,7.54,unknown,True
EPIC-CCN-052,3.63,unknown,True
EPIC-CCN-053,3.21,unknown,True
EPIC-CCN-054,9.40,unknown,True
EPIC-CCN-055,4.09,unknown,True
EPIC-CCN-056,4.91,unknown,True
EPIC-CCN-057,3.06,unknown,True
EPIC-CCN-058,3.98,unknown,True
EPIC-CCN-059,3.85,unknown,True
EPIC-CCN-060,3.78,unknown,True
EPIC-CCN-061,6.58,unknown,True
EPIC-CCN-062,8.40,unknown,True
EPIC-CCN-063,4.72,unknown,True
EPIC-CCN-064,5.88,unknown,True
EPIC-CCN-065,4.61,unknown,True
EPIC-CCN-066,4.44,unknown,True
EPIC-CCN-067,4.14,unknown,True
EPIC-CCN-068,3.98,unknown,True
EPIC-CCN-069,6.49,unknown,True
EPIC-CCN-070,4.84,unknown,True
EPIC-CCN-071,4.78,unknown,True
EPIC-CCN-072,4.92,unknown,True
EPIC-CCN-073,8.48,unknown,True
EPIC-CCN-074,4.44,unknown,True
EPIC-CCN-075,3.67,unknown,True
EPIC-CCN-076,2.46,unknown,True
EPIC-CCN-077,3.83,unknown,True
EPIC-CCN-078,3.10,unknown,True
EPIC-CCN-079,5.31,unknown,True
EPIC-CCN-080,6.47,unknown,True
