"Epic","File","Method","CYC","Phase0","Phase1","Special","Source"
"EPIC-CCN-001","V12_002.Symmetry.Replace.cs","SymmetryGuardReplaceExistingFollowerTarget","18","True","False","","Wave6"
"EPIC-CCN-002","V12_002.Symmetry.Replace.cs","SymmetryGuardTryResolveFollowersForDispatch","18","True","False","","Wave6"
"EPIC-CCN-003","V12_002.Symmetry.Replace.cs","SymmetryGuardTryResolveFollowersForDispatch","18","True","True","Local (.dll)","Wave6"
"EPIC-CCN-004","V12_002.UI.Compliance.cs","HandleFleetTargetFill","16","True","False","","Wave6"
"EPIC-CCN-005","V12_002.SIMA.Lifecycle.cs","ClassifyAndRouteFleetOrder","16","True","False","","Wave6"
"EPIC-CCN-006","V12_002.SIMA.Lifecycle.cs","AdoptFleetWorkingOrders","17","True","False","","Wave6"
"EPIC-CCN-007","V12_002.SIMA.Shadow.cs","ShadowPropagateStopMoves","20","True","False","","Wave6"
"EPIC-CCN-008","V12_002.UI.Panel.Handlers.cs","UpdateTargetVisibility","19","True","False","","Wave6"
"EPIC-CCN-009","V12_002.UI.Panel.Helpers.cs","FindChartTraderViaChartTab","20","True","False","","Wave6"
"EPIC-CCN-010","V12_002.UI.Panel.Handlers.cs","ShowModeSpecificControls","20","True","False","","Wave6"
"EPIC-CCN-011","V12_002.UI.Panel.Construction.cs","DestroyPanel","17","True","False","","Wave6"
"EPIC-CCN-012","V12_002.UI.Panel.StateSync.cs","SyncPanelConfigFromSnapshot","15","True","False","","Wave6"
"EPIC-CCN-013","V12_002.UI.Panel.StateSync.cs","UpdatePanelState","16","True","False","","Wave6"
"EPIC-CCN-014","V12_002.UI.Panel.StateSync.cs","UpdatePanelState","16","True","False","","Wave6"
"EPIC-CCN-015","V12_002.UI.Panel.StateSync.cs","UpdatePanelState","16","True","False","","Wave6"
"EPIC-CCN-016","V12_002.UI.IPC.Commands.Fleet.cs","TryHandleFleet_CancelAll","19","True","False","","Wave6"
"EPIC-CCN-017","V12_002.UI.IPC.Commands.Config.cs","TryApplyConfigTarget_Value","17","True","False","","Wave6"
"EPIC-CCN-018","V12_002.UI.IPC.cs","IsSymbolMatch","18","True","False","","Wave6"
"EPIC-CCN-019","V12_002.UI.IPC.Commands.Fleet.cs","TryHandleFleet_MoveTarget","15","True","False","","Wave6"
"EPIC-CCN-020","V12_002.Orders.Callbacks.cs","HandleSecondaryOrderFilled","21","True","False","","Wave6"
"EPIC-CCN-021","V12_002.Orders.Callbacks.cs","ProcessOnOrderUpdate","19","True","False","","Wave6"
"EPIC-CCN-022","V12_002.Orders.Callbacks.Propagation.cs","PropagateMaster_IdentifyMove","18","True","False","","Wave6"
"EPIC-CCN-023","V12_002.Orders.Callbacks.Execution.cs","HandleFlatPosition_CleanupActivePositions","17","True","False","","Wave6"
