Time,Category,Message,
7/16/2026 8:18:08 PM,Position,Instrument='MES SEP26' Account='Sim102' Average price=0 Quantity=0 Market position=Flat Operation=Remove,
7/16/2026 8:18:08 PM,Execution,Execution='fa80410f647449d0a4d0001715c6ac9b' Instrument='MES SEP26' Account='Sim102' Exchange=Default Price=7536.25 Quantity=12 Market position=Long Operation=Operation_Add Order='0da8774a1e1645368e13058e9e809716' Time='7/16/2026 8:18 PM',
7/16/2026 8:18:08 PM,Order,Order='0da8774a1e1645368e13058e9e809716/Sim102' Name='Close' New state='Filled' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=12 Type='Market' Time in force=DAY Oco='' Filled=12 Fill price=7536.25 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='0da8774a1e1645368e13058e9e809716/Sim102' Name='Close' New state='Working' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=12 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='0da8774a1e1645368e13058e9e809716/Sim102' Name='Close' New state='Accepted' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=12 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='0da8774a1e1645368e13058e9e809716/Sim102' Name='Close' New state='Submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=0 Quantity=12 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='1651d426024c4349b7b7408c0fd000b0/Sim102' Name='Target3' New state='Cancelled' Instrument='MES SEP26' Action='Buy to cover' Limit price=7532.5 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='4940c26f671142fa99187c7871513b85' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='fea8a1bbf2b04c3f9d3e1f8f6ac52f2e/Sim102' Name='Stop3' New state='Cancelled' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7539.5 Quantity=1 Type='Stop Market' Time in force=GTC Oco='4940c26f671142fa99187c7871513b85' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='fe88cccc02a542a39264cff0cd904ed5/Sim102' Name='Stop4' New state='Cancelled' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7539.5 Quantity=1 Type='Stop Market' Time in force=GTC Oco='5cb8da4fdf00467d99b902e868f9801a' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='0b37230c65dc42c9a1282df3d1e4cf18/Sim102' Name='Stop2' New state='Cancelled' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7539.5 Quantity=1 Type='Stop Market' Time in force=GTC Oco='0cc0aa56291f4a06b3f79718ff87871a' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='1a8e11f5a73d4fbb90366cc452f45ae7/Sim102' Name='Stop1' New state='Cancelled' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7539.5 Quantity=9 Type='Stop Market' Time in force=GTC Oco='969499ccda954c58bfad4fa2729de81b' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='f8e8da8f782d45d5b778192f04da93ed/Sim102' Name='Target4' New state='Cancelled' Instrument='MES SEP26' Action='Buy to cover' Limit price=7531.5 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='5cb8da4fdf00467d99b902e868f9801a' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='7727b314397742c9bffdd61909b7439d/Sim102' Name='Target2' New state='Cancelled' Instrument='MES SEP26' Action='Buy to cover' Limit price=7533.5 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='0cc0aa56291f4a06b3f79718ff87871a' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='5a511152a1fb493180737f74df5b37dd/Sim102' Name='Target1' New state='Cancelled' Instrument='MES SEP26' Action='Buy to cover' Limit price=7534.5 Stop price=0 Quantity=9 Type='Limit' Time in force=GTC Oco='969499ccda954c58bfad4fa2729de81b' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='fe88cccc02a542a39264cff0cd904ed5/Sim102' Name='Stop4' New state='Cancel submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7539.5 Quantity=1 Type='Stop Market' Time in force=GTC Oco='5cb8da4fdf00467d99b902e868f9801a' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='fea8a1bbf2b04c3f9d3e1f8f6ac52f2e/Sim102' Name='Stop3' New state='Cancel submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7539.5 Quantity=1 Type='Stop Market' Time in force=GTC Oco='4940c26f671142fa99187c7871513b85' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='0b37230c65dc42c9a1282df3d1e4cf18/Sim102' Name='Stop2' New state='Cancel submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7539.5 Quantity=1 Type='Stop Market' Time in force=GTC Oco='0cc0aa56291f4a06b3f79718ff87871a' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='1a8e11f5a73d4fbb90366cc452f45ae7/Sim102' Name='Stop1' New state='Cancel submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7539.5 Quantity=9 Type='Stop Market' Time in force=GTC Oco='969499ccda954c58bfad4fa2729de81b' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='f8e8da8f782d45d5b778192f04da93ed/Sim102' Name='Target4' New state='Cancel submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=7531.5 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='5cb8da4fdf00467d99b902e868f9801a' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='1651d426024c4349b7b7408c0fd000b0/Sim102' Name='Target3' New state='Cancel submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=7532.5 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='4940c26f671142fa99187c7871513b85' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='7727b314397742c9bffdd61909b7439d/Sim102' Name='Target2' New state='Cancel submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=7533.5 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='0cc0aa56291f4a06b3f79718ff87871a' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Order,Order='5a511152a1fb493180737f74df5b37dd/Sim102' Name='Target1' New state='Cancel submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=7534.5 Stop price=0 Quantity=9 Type='Limit' Time in force=GTC Oco='969499ccda954c58bfad4fa2729de81b' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:07 PM,Default,Chart Trader close position,
7/16/2026 8:18:03 PM,Position,Instrument='MES SEP26' Account='Sim101' Average price=0 Quantity=0 Market position=Flat Operation=Remove,
7/16/2026 8:18:03 PM,Execution,Execution='f90e6aa625c8427cae63489e902f3fc3' Instrument='MES SEP26' Account='Sim101' Exchange=Default Price=7535.75 Quantity=12 Market position=Short Operation=Operation_Add Order='72704bd93d9d478b944a45704898abc2' Time='7/16/2026 8:18 PM',
7/16/2026 8:18:03 PM,Order,Order='72704bd93d9d478b944a45704898abc2/Sim101' Name='Close' New state='Filled' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=12 Type='Market' Time in force=DAY Oco='' Filled=12 Fill price=7535.75 Error='No error' Native error='',
7/16/2026 8:18:03 PM,Order,Order='72704bd93d9d478b944a45704898abc2/Sim101' Name='Close' New state='Working' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=12 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:03 PM,Order,Order='72704bd93d9d478b944a45704898abc2/Sim101' Name='Close' New state='Accepted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=12 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:03 PM,Order,Order='72704bd93d9d478b944a45704898abc2/Sim101' Name='Close' New state='Submitted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=12 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:03 PM,Order,Order='bf430cffb82b48fa9e66f16a897ca5cd/Sim101' Name='Target2' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=7537.75 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='7dba5c39391a49248c0816dc31edcdb9' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:03 PM,Order,Order='c8d13f92944747ceae0814a589acf880/Sim101' Name='Stop3' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7531.75 Quantity=1 Type='Stop Market' Time in force=GTC Oco='c3cfff2329f243aa84de225491d45086' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:03 PM,Order,Order='331309bbe55c4d1c8482c33bf946293e/Sim101' Name='Stop1' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7531.75 Quantity=9 Type='Stop Market' Time in force=GTC Oco='6325ef9e1a1f4611b8063cfa26cf9a19' Filled=0 Fill price=0 Error='No error' Native error='',
7/16/2026 8:18:03 PM,Order,Order='6fa49cd27e0f495593d05d521f96763e/Sim101' Name='Target4' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=7539.75 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='5974ab9585c54a879d67e177456ed67d' Filled=0 Fill price=0 Error='No error' Native error='',
