NinjaScript File,Error,Code,Line,Column,
TradeCopierPanel.cs,Cannot implicitly convert type 'System.EventHandler' to 'System.Windows.Controls.SelectionChangedEventHandler',CS0029,397,13,
TradeCopierPanel.cs,Cannot implicitly convert type 'System.EventHandler' to 'System.Windows.Controls.SelectionChangedEventHandler',CS0029,426,17,
CopyEngine.cs,'TimeInForce' does not contain a definition for 'GTC',CS0117,488,56,
CopyEngine.cs,'TimeInForce' does not contain a definition for 'GTC',CS0117,780,33,
CopyEngine.cs,'TimeInForce' does not contain a definition for 'GTC',CS0117,969,33,
CopyEngine.cs,'TimeInForce' does not contain a definition for 'GTC',CS0117,994,33,
CopyEngine.cs,'TimeInForce' does not contain a definition for 'GTC',CS0117,1091,33,
CopyEngine.cs,'TimeInForce' does not contain a definition for 'GTC',CS0117,1121,33,
CopyEngine.cs,'TimeInForce' does not contain a definition for 'GTC',CS0117,1265,37,
CopyEngine.cs,An object reference is required for the non-static field method or property 'CopyEngine.IsStopLeg(Order)',CS0120,1401,18,
