Time,Category,Message,
7/17/2026 8:04:42 AM,Default,Cancel all orders account='Sim101',
7/17/2026 8:04:42 AM,Default,Chart Trader close position,
7/17/2026 8:04:42 AM,Default,Cancel all orders account='Sim101',
7/17/2026 8:04:42 AM,Default,Chart Trader close position,
7/17/2026 8:04:42 AM,Position,Instrument='MES SEP26' Account='Sim101' Average price=0 Quantity=0 Market position=Flat Operation=Remove,
7/17/2026 8:04:42 AM,Execution,Execution='7bfb59a0a058411a8271329c6c555cc0' Instrument='MES SEP26' Account='Sim101' Exchange=Default Price=7507.5 Quantity=3 Market position=Short Operation=Operation_Add Order='28e792e9da2a4a2fa2f0afd522baddee' Time='7/17/2026 8:04 AM',
7/17/2026 8:04:42 AM,Order,Order='28e792e9da2a4a2fa2f0afd522baddee/Sim101' Name='Close' New state='Filled' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=3 Type='Market' Time in force=DAY Oco='' Filled=3 Fill price=7507.5 Error='No error' Native error='',
7/17/2026 8:04:42 AM,Order,Order='28e792e9da2a4a2fa2f0afd522baddee/Sim101' Name='Close' New state='Working' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=3 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 8:04:42 AM,Order,Order='28e792e9da2a4a2fa2f0afd522baddee/Sim101' Name='Close' New state='Accepted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=3 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 8:04:42 AM,Order,Order='28e792e9da2a4a2fa2f0afd522baddee/Sim101' Name='Close' New state='Submitted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=0 Quantity=3 Type='Market' Time in force=DAY Oco='' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 8:04:42 AM,Default,Chart Trader close position,
7/17/2026 8:04:36 AM,Position,Close operation failed. Operation timed out. Manually close your position,
7/17/2026 8:04:35 AM,Default,Chart Trader close position,
7/17/2026 8:04:34 AM,Default,Chart Trader close position,
7/17/2026 8:04:32 AM,Default,Chart Trader close position,
7/17/2026 8:04:31 AM,Order,Order='663e6215decc4f3d9eeee48639171034/Sim101' Name='Target4' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=7512.25 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='34ff574519ef486da080cff78afa2d9c' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 8:04:31 AM,Order,Order='87f4c9c33ad2470e90c286d65db75bf4/Sim101' Name='Target3' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=7511.25 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='316cbe585a72431b94af83e230d65fa0' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 8:04:31 AM,Order,Order='4708576d22204c948b441cc2922f3b72/Sim101' Name='Stop4' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7504.25 Quantity=1 Type='Stop Market' Time in force=GTC Oco='34ff574519ef486da080cff78afa2d9c' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 8:04:31 AM,Order,Order='ad9394911f7e4a398958a612101bbec5/Sim101' Name='Stop3' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7504.25 Quantity=1 Type='Stop Market' Time in force=GTC Oco='316cbe585a72431b94af83e230d65fa0' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 8:04:31 AM,Order,Order='7182bdac3c2340d6936827a667b40fc1/Sim101' Name='Stop2' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7504.25 Quantity=1 Type='Stop Market' Time in force=GTC Oco='3ceff6263c9148f7bfc2342393cd148d' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 8:04:31 AM,Order,Order='3ee11b1f74864b78b5bf26a60226f83f/Sim101' Name='Target2' New state='Cancelled' Instrument='MES SEP26' Action='Sell' Limit price=7510.25 Stop price=0 Quantity=1 Type='Limit' Time in force=GTC Oco='3ceff6263c9148f7bfc2342393cd148d' Filled=0 Fill price=0 Error='No error' Native error='',
7/17/2026 8:04:31 AM,Order,Order='4708576d22204c948b441cc2922f3b72/Sim101' Name='Stop4' New state='Cancel submitted' Instrument='MES SEP26' Action='Sell' Limit price=0 Stop price=7504.25 Quantity=1 Type='Stop Market' Time in force=GTC Oco='34ff574519ef486da080cff78afa2d9c' Filled=0 Fill price=0 Error='No error' Native error='',
