Instrument,Action,Quantity,Price,Time,E/X,Position,Name,Account display name,
MES SEP26,Buy,13,7502.00,7/20/2026 12:02:00 AM,Exit,-,Close,Sim101,
MES SEP26,Sell,7,7501.75,7/20/2026 12:01:59 AM,Exit,-,Close,Sim102,
MES SEP26,Sell,6,7501.75,7/20/2026 12:01:41 AM,Exit,7 L,Target1,Sim102,
MES SEP26,Buy,13,7499.75,7/20/2026 12:01:20 AM,Entry,13 L,Entry,Sim102,
MES SEP26,Sell,13,7499.50,7/20/2026 12:01:16 AM,Entry,13 S,Entry,Sim101,
MES SEP26,Sell,10,7494.50,7/19/2026 11:59:46 PM,Exit,-,Close,Sim102,
MES SEP26,Sell,3,7494.75,7/19/2026 11:59:46 PM,Exit,10 L,Close,Sim102,
MES SEP26,Buy,13,7496.25,7/19/2026 11:56:44 PM,Entry,13 L,Entry,Sim102,
MES SEP26,Sell,3,7497.75,7/19/2026 10:57:58 PM,Exit,-,Close,Sim102,
MES SEP26,Sell,10,7498.00,7/19/2026 10:57:57 PM,Exit,3 L,Close,Sim102,
MES SEP26,Buy,13,7497.50,7/19/2026 10:56:52 PM,Entry,13 L,Entry,Sim102,
MES SEP26,Sell,9,7512.75,7/19/2026 9:50:49 PM,Exit,-,Close,Sim102,
MES SEP26,Sell,4,7513.00,7/19/2026 9:50:49 PM,Exit,9 L,Close,Sim102,
MES SEP26,Buy,13,7513.25,7/19/2026 9:50:48 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,7,7513.75,7/19/2026 9:50:39 PM,Entry,13 L,Entry,Sim102,
MES SEP26,Buy,6,7513.50,7/19/2026 9:50:39 PM,Entry,6 L,Entry,Sim102,
MES SEP26,Sell,13,7513.50,7/19/2026 9:50:38 PM,Entry,13 S,Entry,Sim101,
MES SEP26,Sell,13,7513.50,7/19/2026 9:50:36 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,13,7514.50,7/19/2026 9:50:09 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Buy,13,7514.25,7/19/2026 9:50:03 PM,Exit,-,Close,Sim102,
MES SEP26,Sell,11,7513.50,7/19/2026 9:50:01 PM,Exit,-,Close,Sim101,
MES SEP26,Sell,2,7513.75,7/19/2026 9:50:01 PM,Exit,11 L,Close,Sim101,
MES SEP26,Buy,13,7514.00,7/19/2026 9:49:38 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Sell,4,7513.75,7/19/2026 9:49:31 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Sell,9,7514.00,7/19/2026 9:49:31 PM,Entry,9 S,Entry,Sim102,
MES SEP26,Sell,2,7513.50,7/19/2026 9:49:25 PM,Exit,-,Close,Sim101,
MES SEP26,Sell,11,7513.75,7/19/2026 9:49:25 PM,Exit,2 L,Close,Sim101,
MES SEP26,Buy,13,7514.00,7/19/2026 9:49:15 PM,Exit,-,Close,Sim102,
MES SEP26,Sell,13,7513.25,7/19/2026 9:47:52 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Buy,3,7513.75,7/19/2026 9:47:51 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Buy,10,7513.50,7/19/2026 9:47:51 PM,Entry,10 L,Entry,Sim101,
MES SEP26,Sell,13,7513.50,7/19/2026 9:47:50 PM,Exit,-,Close,Sim102,
MES SEP26,Buy,13,7513.75,7/19/2026 9:47:49 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,13,7513.75,7/19/2026 9:47:20 PM,Entry,13 L,Entry,Sim102,
MES SEP26,Sell,1,7512.75,7/19/2026 9:47:09 PM,Entry,13 S,Entry,Sim101,
MES SEP26,Sell,12,7513.00,7/19/2026 9:47:09 PM,Entry,12 S,Entry,Sim101,
