Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
MES SEP26,Sell,3,7590.75,7/16/2026 6:52:32 AM,1793371|2825479709|2825479709,Entry,3 S,2825479709,Entry,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Sell,5,7590.75,7/16/2026 6:52:32 AM,1793372|2825479709|2825479709,Entry,8 S,2825479709,Entry,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Buy,8,7590.25,7/16/2026 6:52:42 AM,1794333|2825482044|2825482044,Exit,-,2825482044,Close,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MGC AUG26,Buy,1,3972.7,7/17/2026 5:43:03 AM,1237408|2827032617|2827032617,Entry,9 L,2827032617,Entry,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MGC AUG26,Buy,1,3972.7,7/17/2026 5:43:03 AM,1237409|2827032617|2827032617,Entry,10 L,2827032617,Entry,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MGC AUG26,Buy,1,3972.7,7/17/2026 5:43:03 AM,1237406|2827032617|2827032617,Entry,7 L,2827032617,Entry,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MGC AUG26,Buy,5,3972.7,7/17/2026 5:43:03 AM,1237404|2827032617|2827032617,Entry,5 L,2827032617,Entry,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MGC AUG26,Buy,1,3972.7,7/17/2026 5:43:03 AM,1237405|2827032617|2827032617,Entry,6 L,2827032617,Entry,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MGC AUG26,Buy,1,3972.7,7/17/2026 5:43:03 AM,1237407|2827032617|2827032617,Entry,8 L,2827032617,Entry,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MGC AUG26,Sell,4,3968.3,7/17/2026 5:43:28 AM,1237071|2827032685|2827032685,Exit,-,2827032685,Stop1,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MGC AUG26,Sell,6,3968.4,7/17/2026 5:43:28 AM,1237070|2827032685|2827032685,Exit,4 L,2827032685,Stop1,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Sell,12,7486.75,7/17/2026 6:40:24 AM,2023539|2827157173|2827157173,Entry,12 S,2827157173,Entry,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Buy,12,7488.00,7/17/2026 6:40:32 AM,2024286|2827177508|2827177508,Exit,-,2827177508,Stop1,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Sell,5,7491.00,7/17/2026 6:41:32 AM,2020124|2827184054|2827184054,Entry,5 S,2827184054,Entry,$0.00,1,PA-APEX-422136-08!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Sell,7,7491.00,7/17/2026 6:41:32 AM,2020126|2827184054|2827184054,Entry,12 S,2827184054,Entry,$0.00,1,PA-APEX-422136-08!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Sell,12,7491.00,7/17/2026 6:41:32 AM,2028507|2827186942|2827186942,Entry,12 S,2827186942,Entry,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Buy,5,7489.25,7/17/2026 6:41:43 AM,2028808|2827188040|2827188040,Exit,7 S,2827188040,Target1,$0.00,1,PA-APEX-422136-08!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Buy,5,7489.25,7/17/2026 6:41:43 AM,2024045|2827188038|2827188038,Exit,7 S,2827188038,Target1,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Buy,2,7489.25,7/17/2026 6:41:43 AM,2024047|2827188038|2827188038,Exit,5 S,2827188038,Target1,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Buy,2,7489.25,7/17/2026 6:41:43 AM,2028809|2827188040|2827188040,Exit,5 S,2827188040,Target1,$0.00,1,PA-APEX-422136-08!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Buy,5,7489.25,7/17/2026 6:41:43 AM,2024048|2827188038|2827188038,Exit,-,2827188038,Target1,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Buy,5,7489.25,7/17/2026 6:41:43 AM,2028810|2827188040|2827188040,Exit,-,2827188040,Target1,$0.00,1,PA-APEX-422136-08!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Sell,1,7496.75,7/17/2026 6:49:01 AM,2037533|2827252614|2827252614,Entry,5 S,2827252614,Entry,$0.00,1,PA-APEX-422136-08!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Sell,1,7496.75,7/17/2026 6:49:01 AM,2037532|2827252614|2827252614,Entry,4 S,2827252614,Entry,$0.00,1,PA-APEX-422136-08!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Sell,1,7496.75,7/17/2026 6:49:01 AM,2037534|2827252614|2827252614,Entry,6 S,2827252614,Entry,$0.00,1,PA-APEX-422136-08!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Sell,1,7496.75,7/17/2026 6:49:01 AM,2037535|2827252614|2827252614,Entry,7 S,2827252614,Entry,$0.00,1,PA-APEX-422136-08!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Sell,3,7496.75,7/17/2026 6:49:01 AM,2037530|2827252614|2827252614,Entry,3 S,2827252614,Entry,$0.00,1,PA-APEX-422136-08!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Sell,1,7496.75,7/17/2026 6:49:01 AM,2037536|2827252614|2827252614,Entry,8 S,2827252614,Entry,$0.00,1,PA-APEX-422136-08!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Sell,1,7496.75,7/17/2026 6:49:01 AM,2034189|2827248421|2827248421,Entry,6 S,2827248421,Entry,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Sell,1,7496.75,7/17/2026 6:49:01 AM,2034188|2827248421|2827248421,Entry,5 S,2827248421,Entry,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Sell,1,7496.75,7/17/2026 6:49:01 AM,2034187|2827248421|2827248421,Entry,4 S,2827248421,Entry,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Sell,3,7496.75,7/17/2026 6:49:01 AM,2034185|2827248421|2827248421,Entry,3 S,2827248421,Entry,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Sell,1,7496.75,7/17/2026 6:49:01 AM,2034191|2827248421|2827248421,Entry,8 S,2827248421,Entry,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Sell,1,7496.75,7/17/2026 6:49:01 AM,2034190|2827248421|2827248421,Entry,7 S,2827248421,Entry,$0.00,1,PA-APEX-422136-06!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
MES SEP26,Buy,2,7495.00,7/17/2026 6:49:07 AM,2031715|2827254667|2827254667,Exit,6 S,2827254667,Target1,$0.00,1,PA-APEX-422136-08!Apex!Apex,My Rithmic for NinjaTrader Brokerage,
