Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,MES SEP26,PA-APEX-422136-06!Apex!Apex,9t MES RMA 4SL 16Q,Short,3,7590.75,7590.25,7/16/2026 6:52:32 AM,7/16/2026 6:52:42 AM,Entry,Close,$7.50,$7.50,$0.00,$0.00,$0.00,$0.00,$0.00,$11.25,$15.00,$7.50,0,
2,MES SEP26,PA-APEX-422136-06!Apex!Apex,9t MES RMA 4SL 16Q,Short,5,7590.75,7590.25,7/16/2026 6:52:32 AM,7/16/2026 6:52:42 AM,Entry,Close,$12.50,$20.00,$0.00,$0.00,$0.00,$0.00,$0.00,$18.75,$25.00,$12.50,0,
3,MGC AUG26,PA-APEX-422136-06!Apex!Apex,18t MGC  RMA 4SL 10Q,Long,1,3972.7,3968.3,7/17/2026 5:43:03 AM,7/17/2026 5:43:28 AM,Entry,Stop1,($44.00),($24.00),$0.00,$0.00,$0.00,$0.00,$0.00,$44.00,$13.00,$57.00,0,
4,MGC AUG26,PA-APEX-422136-06!Apex!Apex,18t MGC  RMA 4SL 10Q,Long,1,3972.7,3968.3,7/17/2026 5:43:03 AM,7/17/2026 5:43:28 AM,Entry,Stop1,($44.00),($68.00),$0.00,$0.00,$0.00,$0.00,$0.00,$44.00,$13.00,$57.00,0,
5,MGC AUG26,PA-APEX-422136-06!Apex!Apex,18t MGC  RMA 4SL 10Q,Long,1,3972.7,3968.3,7/17/2026 5:43:03 AM,7/17/2026 5:43:28 AM,Entry,Stop1,($44.00),($112.00),$0.00,$0.00,$0.00,$0.00,$0.00,$44.00,$13.00,$57.00,0,
6,MGC AUG26,PA-APEX-422136-06!Apex!Apex,18t MGC  RMA 4SL 10Q,Long,1,3972.7,3968.3,7/17/2026 5:43:03 AM,7/17/2026 5:43:28 AM,Entry,Stop1,($44.00),($156.00),$0.00,$0.00,$0.00,$0.00,$0.00,$44.00,$13.00,$57.00,0,
7,MGC AUG26,PA-APEX-422136-06!Apex!Apex,18t MGC  RMA 4SL 10Q,Long,4,3972.7,3968.4,7/17/2026 5:43:03 AM,7/17/2026 5:43:28 AM,Entry,Stop1,($172.00),($328.00),$0.00,$0.00,$0.00,$0.00,$0.00,$176.00,$52.00,$224.00,0,
8,MGC AUG26,PA-APEX-422136-06!Apex!Apex,18t MGC  RMA 4SL 10Q,Long,1,3972.7,3968.4,7/17/2026 5:43:03 AM,7/17/2026 5:43:28 AM,Entry,Stop1,($43.00),($371.00),$0.00,$0.00,$0.00,$0.00,$0.00,$43.00,$13.00,$56.00,0,
9,MGC AUG26,PA-APEX-422136-06!Apex!Apex,18t MGC  RMA 4SL 10Q,Long,1,3972.7,3968.4,7/17/2026 5:43:03 AM,7/17/2026 5:43:28 AM,Entry,Stop1,($43.00),($414.00),$0.00,$0.00,$0.00,$0.00,$0.00,$43.00,$13.00,$56.00,0,
10,MES SEP26,PA-APEX-422136-06!Apex!Apex,7t MES RMA 4SL 20Q,Short,12,7486.75,7488.00,7/17/2026 6:40:24 AM,7/17/2026 6:40:32 AM,Entry,Stop1,($75.00),($489.00),$0.00,$0.00,$0.00,$0.00,$0.00,$75.00,$90.00,$165.00,0,
11,MES SEP26,PA-APEX-422136-08!Apex!Apex,7t MES RMA 4SL 20Q,Short,5,7491.00,7489.25,7/17/2026 6:41:32 AM,7/17/2026 6:41:43 AM,Entry,Target1,$43.75,($445.25),$0.00,$0.00,$0.00,$0.00,$0.00,$31.25,$43.75,$0.00,0,
12,MES SEP26,PA-APEX-422136-06!Apex!Apex,7t MES RMA 4SL 20Q,Short,5,7491.00,7489.25,7/17/2026 6:41:32 AM,7/17/2026 6:41:43 AM,Entry,Target1,$43.75,($401.50),$0.00,$0.00,$0.00,$0.00,$0.00,$31.25,$43.75,$0.00,0,
13,MES SEP26,PA-APEX-422136-06!Apex!Apex,7t MES RMA 4SL 20Q,Short,2,7491.00,7489.25,7/17/2026 6:41:32 AM,7/17/2026 6:41:43 AM,Entry,Target1,$17.50,($384.00),$0.00,$0.00,$0.00,$0.00,$0.00,$12.50,$17.50,$0.00,0,
14,MES SEP26,PA-APEX-422136-08!Apex!Apex,7t MES RMA 4SL 20Q,Short,2,7491.00,7489.25,7/17/2026 6:41:32 AM,7/17/2026 6:41:43 AM,Entry,Target1,$17.50,($366.50),$0.00,$0.00,$0.00,$0.00,$0.00,$12.50,$17.50,$0.00,0,
15,MES SEP26,PA-APEX-422136-06!Apex!Apex,7t MES RMA 4SL 20Q,Short,5,7491.00,7489.25,7/17/2026 6:41:32 AM,7/17/2026 6:41:43 AM,Entry,Target1,$43.75,($322.75),$0.00,$0.00,$0.00,$0.00,$0.00,$31.25,$43.75,$0.00,0,
16,MES SEP26,PA-APEX-422136-08!Apex!Apex,7t MES RMA 4SL 20Q,Short,5,7491.00,7489.25,7/17/2026 6:41:32 AM,7/17/2026 6:41:43 AM,Entry,Target1,$43.75,($279.00),$0.00,$0.00,$0.00,$0.00,$0.00,$31.25,$43.75,$0.00,0,
17,MES SEP26,PA-APEX-422136-08!Apex!Apex,7t MES RMA 4SL 20Q,Short,1,7496.75,7495.00,7/17/2026 6:49:01 AM,7/17/2026 6:49:07 AM,Entry,Target1,$8.75,($270.25),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.75,$0.00,0,
18,MES SEP26,PA-APEX-422136-08!Apex!Apex,7t MES RMA 4SL 20Q,Short,1,7496.75,7495.00,7/17/2026 6:49:01 AM,7/17/2026 6:49:07 AM,Entry,Target1,$8.75,($261.50),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.75,$0.00,0,
19,MES SEP26,PA-APEX-422136-08!Apex!Apex,7t MES RMA 4SL 20Q,Short,1,7496.75,7495.00,7/17/2026 6:49:01 AM,7/17/2026 6:49:07 AM,Entry,Target1,$8.75,($252.75),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.75,$0.00,0,
20,MES SEP26,PA-APEX-422136-08!Apex!Apex,7t MES RMA 4SL 20Q,Short,1,7496.75,7495.00,7/17/2026 6:49:01 AM,7/17/2026 6:49:07 AM,Entry,Target1,$8.75,($244.00),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.75,$0.00,0,
21,MES SEP26,PA-APEX-422136-08!Apex!Apex,7t MES RMA 4SL 20Q,Short,1,7496.75,7495.00,7/17/2026 6:49:01 AM,7/17/2026 6:49:07 AM,Entry,Target1,$8.75,($235.25),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.75,$0.00,0,
22,MES SEP26,PA-APEX-422136-08!Apex!Apex,7t MES RMA 4SL 20Q,Short,1,7496.75,7495.00,7/17/2026 6:49:01 AM,7/17/2026 6:49:07 AM,Entry,Target1,$8.75,($226.50),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.75,$0.00,0,
23,MES SEP26,PA-APEX-422136-08!Apex!Apex,7t MES RMA 4SL 20Q,Short,1,7496.75,7495.00,7/17/2026 6:49:01 AM,7/17/2026 6:49:07 AM,Entry,Target1,$8.75,($217.75),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.75,$0.00,0,
24,MES SEP26,PA-APEX-422136-08!Apex!Apex,7t MES RMA 4SL 20Q,Short,1,7496.75,7495.00,7/17/2026 6:49:01 AM,7/17/2026 6:49:07 AM,Entry,Target1,$8.75,($209.00),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.75,$0.00,0,
25,MES SEP26,PA-APEX-422136-06!Apex!Apex,11t MES RMA 6SL 8Q,Short,1,7496.75,7494.00,7/17/2026 6:49:01 AM,7/17/2026 6:49:12 AM,Entry,Target1,$13.75,($195.25),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$13.75,$0.00,0,
26,MES SEP26,PA-APEX-422136-06!Apex!Apex,11t MES RMA 6SL 8Q,Short,1,7496.75,7494.00,7/17/2026 6:49:01 AM,7/17/2026 6:49:12 AM,Entry,Target1,$13.75,($181.50),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$13.75,$0.00,0,
27,MES SEP26,PA-APEX-422136-06!Apex!Apex,11t MES RMA 6SL 8Q,Short,1,7496.75,7494.00,7/17/2026 6:49:01 AM,7/17/2026 6:49:12 AM,Entry,Target1,$13.75,($167.75),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$13.75,$0.00,0,
28,MES SEP26,PA-APEX-422136-06!Apex!Apex,11t MES RMA 6SL 8Q,Short,3,7496.75,7494.00,7/17/2026 6:49:01 AM,7/17/2026 6:49:12 AM,Entry,Target1,$41.25,($126.50),$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$41.25,$0.00,0,
