Time,Category,Message,
7/28/2026 12:17:34 AM,Position,Instrument='MES SEP26' Account='Sim102' Average price=0 Quantity=0 Market position=Flat Operation=Remove,
7/28/2026 12:17:34 AM,Order,Order='8baa485e5a864955b1a061578e6a42bd/Sim102' Name='PTT-BE-Target-2' New state='Cancelled' Instrument='MES SEP26' Action='Buy to cover' Limit price=7434.5 Stop price=0 Quantity=7 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-1' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:33 AM,Execution,Execution='2359d8261a46456c9f31050613bd6ab1' Instrument='MES SEP26' Account='Sim102' Exchange=Default Price=7437.5 Quantity=7 Market position=Long Operation=Operation_Add Order='04f82964f2c245c297eaace5d5b96421' Time='7/28/2026 12:17 AM',
7/28/2026 12:17:33 AM,Order,Order='8baa485e5a864955b1a061578e6a42bd/Sim102' Name='PTT-BE-Target-2' New state='Cancel submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=7434.5 Stop price=0 Quantity=7 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-1' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:33 AM,Order,Order='04f82964f2c245c297eaace5d5b96421/Sim102' Name='PTT-BE-Stop-2' New state='Filled' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7437.5 Quantity=7 Type='Stop Market' Time in force=DAY Oco='PTT-BE-Sim1-29750-1' Filled=7 Fill price=7437.5 Error='No error' Native error='',
7/28/2026 12:17:33 AM,Position,Instrument='MES SEP26' Account='Sim102' Average price=7437.5 Quantity=7 Market position=Short Operation=Update,
7/28/2026 12:17:33 AM,Order,Order='9e48caf94e1942a59a176896458b36b4/Sim102' Name='PTT-BE-Target-1' New state='Cancelled' Instrument='MES SEP26' Action='Buy to cover' Limit price=7435 Stop price=0 Quantity=6 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-0' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:33 AM,Execution,Execution='5fa504b75c304486af76e3a730f81177' Instrument='MES SEP26' Account='Sim102' Exchange=Default Price=7437.5 Quantity=6 Market position=Long Operation=Operation_Add Order='653f298c3fcd40908f34eb151509224b' Time='7/28/2026 12:17 AM',
7/28/2026 12:17:33 AM,Order,Order='9e48caf94e1942a59a176896458b36b4/Sim102' Name='PTT-BE-Target-1' New state='Cancel submitted' Instrument='MES SEP26' Action='Buy to cover' Limit price=7435 Stop price=0 Quantity=6 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-0' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:33 AM,Order,Order='653f298c3fcd40908f34eb151509224b/Sim102' Name='PTT-BE-Stop-1' New state='Filled' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7437.5 Quantity=6 Type='Stop Market' Time in force=DAY Oco='PTT-BE-Sim1-29750-0' Filled=6 Fill price=7437.5 Error='No error' Native error='',
7/28/2026 12:17:33 AM,Order,Order='04f82964f2c245c297eaace5d5b96421/Sim102' Name='PTT-BE-Stop-2' New state='Working' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7437.5 Quantity=7 Type='Stop Market' Time in force=DAY Oco='PTT-BE-Sim1-29750-1' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:33 AM,Order,Order='653f298c3fcd40908f34eb151509224b/Sim102' Name='PTT-BE-Stop-1' New state='Working' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7437.5 Quantity=6 Type='Stop Market' Time in force=DAY Oco='PTT-BE-Sim1-29750-0' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:32 AM,Order,Order='8baa485e5a864955b1a061578e6a42bd/Sim102' Name='PTT-BE-Target-2' New state='Working' Instrument='MES SEP26' Action='Buy to cover' Limit price=7434.5 Stop price=0 Quantity=7 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-1' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:32 AM,Order,Order='8baa485e5a864955b1a061578e6a42bd/Sim102' Name='PTT-BE-Target-2' New state='Accepted' Instrument='MES SEP26' Action='Buy to cover' Limit price=7434.5 Stop price=0 Quantity=7 Type='Limit' Time in force=GTC Oco='PTT-BE-Sim1-29750-1' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:32 AM,Order,Order='04f82964f2c245c297eaace5d5b96421/Sim102' Name='PTT-BE-Stop-2' New state='Accepted' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7437.5 Quantity=7 Type='Stop Market' Time in force=DAY Oco='PTT-BE-Sim1-29750-1' Filled=0 Fill price=0 Error='No error' Native error='',
7/28/2026 12:17:32 AM,Order,Order='e3160854358f490ab92049d613e8b28d/Sim102' Name='Stop1' New state='Cancelled' Instrument='MES SEP26' Action='Buy to cover' Limit price=0 Stop price=7443.5 Quantity=6 Type='Stop Market' Time in force=GTC Oco='ae68e9f915a34b0bada5f7a586ca1afb' Filled=0 Fill price=0 Error='No error' Native error='',
