Instrument,Action,Quantity,Price,Time,E/X,Position,Name,Account display name,
MES SEP26,Sell,10,7633.25,8/3/2026 4:42:42 PM,Exit,-,PTT-BE-Stop-1,Sim101,
MES SEP26,Sell,10,7633.25,8/3/2026 4:42:42 PM,Exit,8 L,PTT-BE-Stop-1,Sim102,
MES SEP26,Buy,1,7633.50,8/3/2026 4:39:39 PM,Entry,18 L,Entry,Sim102,
MES SEP26,Buy,9,7633.25,8/3/2026 4:39:39 PM,Entry,17 L,Entry,Sim102,
MES SEP26,Buy,1,7633.50,8/3/2026 4:39:38 PM,Entry,10 L,Entry,Sim101,
MES SEP26,Buy,9,7633.25,8/3/2026 4:39:38 PM,Entry,9 L,Entry,Sim101,
MES SEP26,Sell,8,7632.75,8/3/2026 4:39:33 PM,Exit,-,Close,Sim101,
MES SEP26,Sell,2,7633.00,8/3/2026 4:39:33 PM,Exit,8 L,Close,Sim101,
MES SEP26,Sell,10,7633.00,8/3/2026 4:39:33 PM,Exit,8 L,Close,Sim102,
MES SEP26,Buy,10,7635.25,8/3/2026 4:37:51 PM,Entry,18 L,Entry,Sim102,
MES SEP26,Buy,10,7635.25,8/3/2026 4:37:50 PM,Entry,10 L,Entry,Sim101,
MES SEP26,Buy,10,7634.25,8/3/2026 4:30:27 PM,Entry/Exit,8 L,PTT-BE-Stop-1,Sim102,
MES SEP26,Buy,10,7634.25,8/3/2026 4:30:27 PM,Exit,-,PTT-BE-Stop-1,Sim101,
MES SEP26,Sell,10,7634.25,8/3/2026 4:26:14 PM,Entry/Exit,2 S,Entry,Sim102,
MES SEP26,Sell,10,7634.25,8/3/2026 4:26:13 PM,Entry,10 S,Entry,Sim101,
MES SEP26,Buy,10,7634.50,8/3/2026 4:26:10 PM,Entry/Exit,8 L,Close,Sim102,
MES SEP26,Sell,2,7634.00,8/3/2026 4:26:09 PM,Exit,-,Close,Sim101,
MES SEP26,Sell,8,7634.25,8/3/2026 4:26:09 PM,Exit,2 L,Close,Sim101,
MES SEP26,Sell,10,7634.50,8/3/2026 4:25:39 PM,Entry/Exit,2 S,Entry,Sim102,
MES SEP26,Buy,10,7634.75,8/3/2026 4:25:38 PM,Entry,10 L,Entry,Sim101,
MES SEP26,Buy,10,7634.75,8/3/2026 4:25:31 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,10,7634.75,8/3/2026 4:25:31 PM,Entry/Exit,8 L,Close,Sim102,
MES SEP26,Sell,1,7635.00,8/3/2026 4:24:12 PM,Entry,2 S,Entry,Sim102,
MES SEP26,Sell,9,7635.25,8/3/2026 4:24:12 PM,Entry/Exit,1 S,Entry,Sim102,
MES SEP26,Sell,10,7635.25,8/3/2026 4:24:11 PM,Entry,10 S,Entry,Sim101,
MES SEP26,Buy,10,7635.50,8/3/2026 4:24:06 PM,Entry/Exit,8 L,Close,Sim102,
MES SEP26,Buy,10,7635.50,8/3/2026 4:23:52 PM,Exit,-,Close,Sim101,
MES SEP26,Sell,10,7636.00,8/3/2026 4:21:32 PM,Entry,10 S,Entry,Sim101,
MES SEP26,Sell,9,7635.75,8/3/2026 4:21:31 PM,Entry/Exit,2 S,Entry,Sim102,
MES SEP26,Sell,1,7636.00,8/3/2026 4:21:31 PM,Exit,7 L,Entry,Sim102,
MES SEP26,Buy,10,7636.00,8/3/2026 4:21:09 PM,Entry/Exit,8 L,Close,Sim102,
