NinjaScript File,Error,Code,Line,Column,
B42Tests.cs,The type or namespace name 'Xunit' could not be found (are you missing a using directive or an assembly reference?),CS0246,9,7,
B42Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,72,10,
B42Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,72,10,
B42Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,95,10,
B42Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,95,10,
B42Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,167,10,
B42Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,167,10,
B42Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,191,10,
B42Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,191,10,
B42Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,215,10,
B42Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,215,10,
B42Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,115,10,
B42Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,115,10,
B42Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,256,10,
B42Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,256,10,
B42Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,293,10,
B42Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,293,10,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,87,13,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,88,13,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,89,13,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,90,13,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,91,13,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,92,13,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,102,13,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,103,13,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,138,17,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,139,17,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,140,17,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,141,17,
PttFollowerStrategy.cs,Member 'State.SetDefaults' cannot be accessed with an instance reference; qualify it with a type name instead,CS0176,31,26,
PttFollowerStrategy.cs,Member 'Calculate.OnBarClose' cannot be accessed with an instance reference; qualify it with a type name instead,CS0176,34,48,
PttFollowerStrategy.cs,Member 'State.Realtime' cannot be accessed with an instance reference; qualify it with a type name instead,CS0176,38,31,
PttFollowerStrategy.cs,Member 'State.Terminated' cannot be accessed with an instance reference; qualify it with a type name instead,CS0176,42,31,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,184,13,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,208,13,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,232,13,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,273,17,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,274,17,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,275,17,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,276,17,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,277,17,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,307,13,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,315,13,
B42Tests.cs,The name 'Assert' does not exist in the current context,CS0103,340,13,
