NinjaScript File,Error,Code,Line,Column,
V12_002\UI\Panel\Helpers\ResolveChartTab\Tests.cs,The type or namespace name 'Xunit' could not be found (are you missing a using directive or an assembly reference?),CS0246,5,7,
V12_002\UI\Panel\Helpers\ResolveChartTab\Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,13,10,
V12_002\UI\Panel\Helpers\ResolveChartTab\Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,13,10,
V12_002\UI\Panel\Helpers\ResolveChartTab\Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,30,10,
V12_002\UI\Panel\Helpers\ResolveChartTab\Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,30,10,
V12_002\UI\Panel\Helpers\ResolveChartTab\Tests.cs,The type or namespace name 'FactAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,46,10,
V12_002\UI\Panel\Helpers\ResolveChartTab\Tests.cs,The type or namespace name 'Fact' could not be found (are you missing a using directive or an assembly reference?),CS0246,46,10,
V12_002\UI\Panel\Helpers.cs,The type or namespace name 'ChartControl' could not be found (are you missing a using directive or an assembly reference?),CS0246,762,50,
V12_002\Symmetry\BracketFSM.cs,Type 'V12_002' already defines a member called 'DrainAccountMailbox' with the same parameter types,CS0111,100,22,
V12_002\SIMA\Fleet.cs,Type 'V12_002' already defines a member called 'HasActiveFsmForAccount' with the same parameter types,CS0111,630,22,
V12_002\SIMA\Lifecycle.cs,The type or namespace name 'MethodImplAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,488,10,
V12_002\SIMA\Lifecycle.cs,The type or namespace name 'MethodImpl' could not be found (are you missing a using directive or an assembly reference?),CS0246,488,10,
V12_002\SIMA\Lifecycle.cs,The name 'MethodImplOptions' does not exist in the current context,CS0103,488,21,
V12_002\SIMA\Lifecycle.cs,The type or namespace name 'MethodImplAttribute' could not be found (are you missing a using directive or an assembly reference?),CS0246,491,10,
V12_002\SIMA\Lifecycle.cs,The type or namespace name 'MethodImpl' could not be found (are you missing a using directive or an assembly reference?),CS0246,491,10,
V12_002\SIMA\Lifecycle.cs,The name 'MethodImplOptions' does not exist in the current context,CS0103,491,21,
V12_002\UI\Panel\Helpers\ResolveChartTab\Tests.cs,The name 'Assert' does not exist in the current context,CS0103,25,13,
V12_002\UI\Panel\Helpers\ResolveChartTab\Tests.cs,The name 'Assert' does not exist in the current context,CS0103,41,13,
V12_002\UI\Panel\Helpers\ResolveChartTab\Tests.cs,The name 'Assert' does not exist in the current context,CS0103,57,13,
V12_002\BarUpdate.cs,The call is ambiguous between the following methods or properties: 'V12_002.DrainAccountMailbox()' and 'V12_002.DrainAccountMailbox()',CS0121,283,17,
V12_002\Lifecycle.cs,The call is ambiguous between the following methods or properties: 'V12_002.DrainAccountMailbox()' and 'V12_002.DrainAccountMailbox()',CS0121,234,13,
V12_002\Orders\Callbacks\AccountOrders.cs,Operator '?' cannot be applied to operand of type 'V12_002.QueuedAccountOrderUpdate',CS0023,1160,21,
V12_002\Orders\Callbacks\AccountOrders.cs,The name 'IsFollowerPosition' does not exist in the current context,CS0103,1202,33,
V12_002\Orders\Callbacks\AccountOrders.cs,'V12_002.PositionInfo' does not contain a definition for 'Account' and no accessible extension method 'Account' accepting a first argument of type 'V12_002.PositionInfo' could be found (are you missing a using directive or an assembly reference?),CS1061,1204,24,
V12_002\Orders\Callbacks\Propagation.cs,Argument 2: cannot convert from 'System.Collections.Concurrent.ConcurrentDictionary<string NinjaTrader.Cbi.Order>' to 'System.Collections.Generic.Dictionary<string NinjaTrader.Cbi.Order>',CS1503,487,38,
V12_002\Orders\Management\Cleanup.cs,'OrderState' does not contain a definition for 'PendingSubmit',CS0117,621,51,
V12_002\Orders\Management\Cleanup.cs,'OrderState' does not contain a definition for 'PendingChange',CS0117,622,51,
V12_002\Orders\Management\Cleanup.cs,'OrderState' does not contain a definition for 'PendingCancel',CS0117,623,51,
V12_002\REAPER\Repair.cs,The call is ambiguous between the following methods or properties: 'V12_002.HasActiveFsmForAccount(string)' and 'V12_002.HasActiveFsmForAccount(string)',CS0121,166,17,
V12_002\SIMA\Fleet.cs,The call is ambiguous between the following methods or properties: 'V12_002.HasActiveFsmForAccount(string)' and 'V12_002.HasActiveFsmForAccount(string)',CS0121,582,44,
V12_002\Symmetry\Replace.cs,'V12_002.FollowerTargetReplaceSpec' does not contain a definition for 'Value' and no accessible extension method 'Value' accepting a first argument of type 'V12_002.FollowerTargetReplaceSpec' could be found (are you missing a using directive or an assembly reference?),CS1061,122,61,
V12_002\UI\IPC.cs,An object reference is required for the non-static field method or property 'NinjaScript.Print(object)',CS0120,120,13,
V12_002\UI\Panel\Helpers.cs,Argument 1: cannot convert from 'NinjaTrader.Gui.Chart.ChartControl' to 'ChartControl',CS1503,531,61,
