"Epic","Wave","HighestPhase","HasLamport","HasManifest","Phase0","Phase1","Phase1_5","Phase2","Phase3","Phase4"
"EPIC-CCN-001","Wave 4/5","Phase 0","False","True","True","False","False","False","False","False"
"EPIC-CCN-002","Wave 4/5","Phase 0","False","True","True","False","False","False","False","False"
"EPIC-CCN-003","Wave 4/5","Phase 4","False","True","True","True","True","True","True","True"
"EPIC-CCN-004","Wave 4/5","Phase 0","False","True","True","False","False","False","False","False"
"EPIC-CCN-005","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-006","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-007","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-008","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-009","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-010","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-011","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-012","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-013","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-014","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-015","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-016","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-017","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-018","Wave 4/5","Phase 4","False","True","True","False","False","True","True","True"
"EPIC-CCN-019","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-020","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-021","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-022","Wave 4/5","Phase 4","False","True","True","False","False","True","True","True"
"EPIC-CCN-023","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-024","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-025","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-026","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-027","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-028","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-029","Wave 4/5","Phase 4","False","True","True","False","True","False","False","True"
"EPIC-CCN-030","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-031","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-032","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-033","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-034","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-035","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-036","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-037","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-038","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-039","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-040","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-041","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-042","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-043","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-044","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-045","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-046","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-047","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-048","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-049","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-050","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-051","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-052","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-053","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-054","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
"EPIC-CCN-055","Wave 4/5","Phase 4","False","True","True","False","True","True","True","True"
